player_id,name,current_club_name,position,sub_position,market_value_in_eur,highest_market_value_in_eur
627248,Lewis Dobbin,Aston Villa,Attack,Left Winger,7000000.0,7000000.0
627442,Benjamin Sesko,Manchester United,Attack,Centre-Forward,75000000.0,75000000.0
627626,Wilfried Gnonto,Leeds United,Attack,Right Winger,16000000.0,22000000.0
628451,Roméo Lavia,Chelsea FC,Midfield,Defensive Midfield,22000000.0,50000000.0
633652,Calvin Ramsay,Liverpool FC,Defender,Right-Back,1500000.0,5000000.0
633992,Enzo Le Fée,Sunderland AFC,Midfield,Central Midfield,28000000.0,28000000.0
644401,Keane Lewis-Potter,Brentford FC,Midfield,Left Midfield,25000000.0,25000000.0
645686,Lamare Bogarde,Aston Villa,Midfield,Defensive Midfield,18000000.0,18000000.0
646353,Carl Rushworth,Brighton & Hove Albion,Goalkeeper,Goalkeeper,16000000.0,16000000.0
646658,Aaron Ramsey,Burnley FC,Midfield,Attacking Midfield,6000000.0,15000000.0
646750,Cristhian Mosquera,Arsenal FC,Defender,Centre-Back,40000000.0,40000000.0
646991,Robin Roefs,Sunderland AFC,Goalkeeper,Goalkeeper,28000000.0,28000000.0
648032,James Abankwah,Watford FC,Defender,Centre-Back,3500000.0,3500000.0
648195,Enzo Fernández,Chelsea FC,Midfield,Central Midfield,90000000.0,90000000.0
654412,Abdoullah Ba,Sunderland AFC,Midfield,Right Midfield,1500000.0,4000000.0
654539,Adrien Truffert,AFC Bournemouth,Defender,Left-Back,30000000.0,30000000.0
655488,Gabriel Martinelli,Arsenal FC,Attack,Left Winger,45000000.0,85000000.0
655986,Reece Welch,Everton FC,Defender,Centre-Back,250000.0,700000.0
656316,Gabriel Slonina,Chelsea FC,Goalkeeper,Goalkeeper,3000000.0,9000000.0
658536,Simon Adingra,Sunderland AFC,Attack,Left Winger,22000000.0,30000000.0
659813,Piero Hincapié,Arsenal FC,Defender,Centre-Back,50000000.0,50000000.0
660768,Max Thompson,Newcastle United,Goalkeeper,Goalkeeper,,
661053,Jarrad Branthwaite,Everton FC,Defender,Centre-Back,40000000.0,50000000.0
661207,Oscar Bobb,Manchester City,Attack,Right Winger,28000000.0,30000000.0
661208,Leo Hjelde,Sunderland AFC,Defender,Centre-Back,1500000.0,1500000.0
661253,Hector Kyprianou,Watford FC,Midfield,Defensive Midfield,1500000.0,1500000.0
661427,David Møller Wolfe,Wolverhampton Wanderers,Defender,Left-Back,8000000.0,12000000.0
